LOAN_ID,DATE,CUSTOMER_AGE,TOTAL_PAID,TOTAL_DUE_TODAY,BALANCE,DAYS_PAST_DUE,CLOSING_BALANCE,ADVANCE,BALANCE_DUE_TO_DATE,ARREARS,BALANCE_DUE_STATUS,PAYMENT,EXPECTED_PAYMENT,FIRST_PAYMENT,FIRST_EXPECTED_PAYMENT,ACCOUNT_STATUS_L1,ACCOUNT_STATUS_L2,RETURN_DATE,SALE_DATE,CREDIT_CHECK_DONE,PAYMENT_AMOUNT,ADJUSTMENT_AMOUNT,PREPAYMENT_AMOUNT,DEPOSIT,WEEKLY_RATE,CREDIT_EXPIRY,NEXT_INVOICE_DATE,,DISCOUNT,OVERPAYMENT_AMOUNT,MAX_PAYMENT_DATE,INITIAL_PAY,TOTAL_PAID_WITH_ADJUSTMENTS_15D
recMIg4BH7XtBPOKh,12/30/2025,542,84279,84279,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,7/6/2024,Y LOAN,,,0,11999,1390,7/5/2025,1/3/2026,,0,0,6/6/2025,13389,84279
reciqgn1aLGc7bwh4,12/30/2025,111,23799,52599,97920,104,97920,0,-28800,28800,Arrears,0,0,0,0,First Payment Default,FPD,,9/10/2025,Y LOAN,,,0,21879,1920,9/17/2025,12/31/2025,,0,0,9/10/2025,23799,23799
recJEphxNZ0IdjfJX,12/30/2025,266,9749,42999,45600,238,45600,0,-33250,33250,Arrears,0,950,0,0,First Month Default without inventory over 30,FMD,,4/8/2025,Y LOAN,,,0,5949,950,5/6/2025,1/6/2026,,0,0,5/3/2025,6899,9749
recMd5fGsRDxmJLeT,12/30/2025,124,33049,37349,52700,0,52700,0,0,0,up to date,0,0,0,0,Existing Active,Active,,8/28/2025,Y LOAN,,,0,9449,1550,1/1/2026,1/1/2026,,0,0,12/24/2025,10999,37349
recGkEmbBOeMtv3Np,12/30/2025,590,77039,77139,0,0,0,0,-100,100,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,5/19/2024,Y LOAN,,,0,8499,1320,5/11/2025,1/4/2026,,100,0,5/10/2025,9819,77039
recWVl0XREXTWboNb,12/30/2025,2,3099,3099,26520,0,26520,0,0,0,up to date,0,0,0,0,New Active,Active,,12/28/2025,Y LOAN,,,0,2579,520,1/4/2026,1/4/2026,,0,0,12/28/2025,3099,3099
recAwKu6vY6DKm1ev,12/30/2025,97,31149,31149,58900,0,58900,0,0,0,up to date,0,0,0,0,Existing Active,Active,,9/24/2025,Y LOAN,,,0,9449,1550,12/31/2025,12/31/2025,,0,0,12/24/2025,10999,31149
recQTjosNHMUBI1jy,12/30/2025,344,12369,82929,73500,330,73500,0,-70560,70560,Arrears,0,0,0,0,First Month Default without inventory over 30,FMD,,1/20/2025,Y LOAN,,,0,9429,1470,2/3/2025,1/5/2026,,0,0,1/27/2025,10899,12369
reczQuHhUCzVRLxZ9,12/30/2025,908,12579,77079,64500,894,64500,0,-64500,64500,Arrears,0,0,0,0,First Month Default without inventory over 30,FMD,,7/6/2023,Y LOAN,,,0,9999,1290,7/20/2023,1/1/2026,,0,0,7/13/2023,11289,12579
rec2O12vqwhmmgAdz,12/30/2025,21,11759,8709,43510,0,43510,3050,3050,0,advance,0,970,0,0,New Active,Active,,12/9/2025,Y LOAN,,,0,4829,970,1/27/2026,1/6/2026,,0,0,12/23/2025,5799,11759
recJII1Jarv0JKPLX,12/30/2025,556,21000,70919,49919,486,49919,0,-49919,49919,Arrears,0,0,0,0,Write Off,PAR 30,,6/22/2024,Y LOAN,,,0,7999,1210,8/31/2024,1/3/2026,,0,0,8/30/2024,9209,21000
rec37DgHNawNg80WN,12/30/2025,290,184949,184929,33280,0,33280,20,20,0,advance,0,0,0,0,Existing Active,Active,,3/15/2025,Y LOAN,,,0,45069,3330,1/3/2026,1/3/2026,,0,0,12/29/2025,48399,184949
recYn6zLaLpUPHDCE,12/30/2025,151,30379,30379,32400,0,32400,0,0,0,up to date,0,0,0,0,Existing Active,Active,,8/1/2025,Y LOAN,,,0,6619,1080,1/2/2026,1/2/2026,,0,0,12/29/2025,7699,30379
receRLU39BmGXPO9j,12/30/2025,3,6999,6999,59670,0,59670,0,0,0,up to date,0,0,0,0,New Active,Active,,12/27/2025,Y LOAN,,,0,5829,1170,1/3/2026,1/3/2026,,0,0,12/27/2025,6999,6999
recfSIX0TzFvmJHaG,12/30/2025,541,91539,91639,0,0,0,0,-100,100,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,7/7/2024,Y LOAN,,,0,9999,1570,6/29/2025,1/4/2026,,100,0,7/2/2025,11569,91539
recqLLcnkxZr1uzRO,12/30/2025,246,35039,48658.6,0,0,0,0.4,0.4,0,advance,0,0,0,0,Paid Off Loan,Paid Off,,4/28/2025,Y LOAN,,,0,9139,3060,7/21/2025,1/5/2026,,13619.6,0,6/24/2025,12199,48659
recAChkhezRmxxHOw,12/30/2025,739,57399,57399,0,0,0,0,0,0,up to date,0,0,0,0,Paid Off Loan,Paid Off,,12/22/2023,Y LOAN,,,0,7999,950,12/20/2024,1/2/2026,,0,0,11/22/2024,8949,57399
rec2QEvrH8ZS0BgWS,12/30/2025,365,10989,86979,75990,358,75990,0,-75990,75990,Arrears,0,0,0,0,First Payment Default,FPD,,12/30/2024,Y LOAN,,,0,9499,1490,1/6/2025,1/5/2026,,0,0,12/30/2024,10989,10989
recX4L99Ud9zk5Wy0,12/30/2025,252,34139,57779,43590,119,43590,0,-23640,23640,Arrears,0,1330,0,0,Write Off,PAR 30,,4/22/2025,Y LOAN,,,0,8569,1330,9/2/2025,1/6/2026,,0,0,8/30/2025,9899,34139
rec03rCeSPA9hsLoq,12/30/2025,285,41939,57799,29280,89,29280,0,-15860,15860,Arrears,0,0,0,0,Blocked 61-90,PAR 30,,3/20/2025,Y LOAN,,,0,7779,1220,10/2/2025,1/1/2026,,0,0,12/20/2025,8999,41939
reccmO1zFuzAyPeaA,12/30/2025,573,40159,77139,36980,412,36980,0,-36980,36980,Arrears,0,0,0,0,Write Off,PAR 30,,6/5/2024,Y LOAN,,,0,8499,1320,11/13/2024,12/31/2025,,0,0,1/17/2025,9819,40159
recSRIUHJjObRFYrk,12/30/2025,334,52419,77239,30500,124,30500,0,-24820,24820,Arrears,0,0,0,0,Write Off,PAR 30,,1/30/2025,Y LOAN,,,0,9079,1420,8/28/2025,1/1/2026,,0,0,8/22/2025,10499,52419
recYNvnZkCNZrD0i2,12/30/2025,94,36119,35959,53800,0,53800,160,160,0,advance,0,0,0,0,Existing Active,Active,,9/27/2025,Y LOAN,,,0,16079,1420,1/3/2026,1/3/2026,,0,0,12/24/2025,17499,36119
rec0aZjAmeA6IFjSn,12/30/2025,574,4660,32619,27959,560,27959,0,-27959,27959,Arrears,0,560,0,0,First Month Default without inventory over 30,FMD,,6/4/2024,Y LOAN,,,0,3499,560,6/18/2024,1/6/2026,,0,0,6/26/2024,4059,4660
